Name,HP,Attack,Special Attack,Max Attack,Defense,Special Defense,Max Defense,Speed,Total,Type 1,Type 2,Legendary
Grookey,50,65,40,65,50,40,50,65,310,Grass,,FALSE
Thwackey,70,85,55,85,70,60,70,80,420,Grass,,FALSE
Rillaboom,100,125,60,125,90,70,90,85,530,Grass,,FALSE
Scorbunny,50,71,40,71,40,40,40,69,310,Fire,,FALSE
Raboot,65,86,55,86,60,60,60,94,420,Fire,,FALSE
Cinderace,80,116,65,116,75,75,75,119,530,Fire,,FALSE
Sobble,50,40,70,70,40,40,40,70,310,Water,,FALSE
Drizzile,65,60,95,95,55,55,55,90,420,Water,,FALSE
Inteleon,70,85,125,125,65,65,65,120,530,Water,,FALSE
Blipbug,25,20,25,25,20,45,45,45,180,Bug,,FALSE
Dottler,50,35,50,50,80,90,90,30,335,Bug,Psychic,FALSE
Orbeetle,60,45,80,80,110,120,120,90,505,Bug,Psychic,FALSE
Caterpie,45,30,20,30,35,20,35,45,195,Bug,,FALSE
Metapod,50,20,25,25,55,25,55,30,205,Bug,,FALSE
Butterfree,60,45,90,90,50,80,80,70,395,Bug,Flying,FALSE
Grubbin,47,62,55,62,45,45,45,46,300,Bug,,FALSE
Charjabug,57,82,55,82,95,75,95,36,400,Bug,Electric,FALSE
Vikavolt,77,70,145,145,90,75,90,43,500,Bug,Electric,FALSE
Hoothoot,60,30,36,36,30,56,56,50,262,Normal,Flying,FALSE
Noctowl,100,50,86,86,50,96,96,70,452,Normal,Flying,FALSE
Rookidee,38,47,33,47,35,35,35,57,245,Flying,,FALSE
Corvisquire,68,67,43,67,55,55,55,77,365,Flying,,FALSE
Corviknight,98,87,53,87,105,85,105,67,495,Flying,Steel,FALSE
Skwovet,70,55,35,55,55,35,55,25,275,Normal,,FALSE
Greedent,120,95,55,95,95,75,95,20,460,Normal,,FALSE
Pidove,50,55,36,55,50,30,50,43,264,Normal,Flying,FALSE
Tranquill,62,77,50,77,62,42,62,65,358,Normal,Flying,FALSE
Unfezant,80,115,65,115,80,55,80,93,488,Normal,Flying,FALSE
Nickit,40,28,47,47,28,52,52,50,245,Dark,,FALSE
Thievul,70,58,87,87,58,92,92,90,455,Dark,,FALSE
Galarian Zigzagoon,38,30,30,30,41,41,41,60,240,Dark,Normal,FALSE
Galarian Linoone,78,70,50,70,61,61,61,100,420,Dark,Normal,FALSE
Obstagoon,93,90,60,90,101,81,101,95,520,Dark,Normal,FALSE
Wooloo,42,40,40,40,55,45,55,48,270,Normal,,FALSE
Dubwool,72,80,60,80,100,90,100,88,490,Normal,,FALSE
Lotad,40,30,40,40,30,50,50,30,220,Water,Grass,FALSE
Lombre,60,50,60,60,50,70,70,50,340,Water,Grass,FALSE
Ludicolo,80,70,90,90,70,100,100,70,480,Water,Grass,FALSE
Seedot,40,40,30,40,50,30,50,30,220,Grass,,FALSE
Nuzleaf,70,70,60,70,40,40,40,60,340,Grass,Dark,FALSE
Shiftry,90,100,90,100,60,60,60,80,480,Grass,Dark,FALSE
Chewtle,50,64,38,64,50,38,50,44,284,Water,,FALSE
Drednaw,90,115,48,115,90,68,90,74,485,Water,Rock,FALSE
Purrloin,41,50,50,50,37,37,37,66,281,Dark,,FALSE
Liepard,64,88,88,88,50,50,50,106,446,Dark,,FALSE
Yamper,59,45,40,45,50,50,50,26,270,Electric,,FALSE
Boltund,69,90,90,90,60,60,60,121,490,Electric,,FALSE
Bunnelby,38,36,32,36,38,36,38,57,237,Normal,,FALSE
Diggersby,85,56,50,56,77,77,77,78,423,Normal,Ground,FALSE
Minccino,55,50,40,50,40,40,40,75,300,Normal,,FALSE
Cinccino,75,95,65,95,60,60,60,115,470,Normal,,FALSE
Bounsweet,42,30,30,30,38,38,38,32,210,Grass,,FALSE
Steenee,52,40,40,40,48,48,48,62,290,Grass,,FALSE
Tsareena,72,120,50,120,98,98,98,72,510,Grass,,FALSE
Oddish,45,50,75,75,55,65,65,30,320,Grass,Poison,FALSE
Gloom,60,65,85,85,70,75,75,40,395,Grass,Poison,FALSE
Vileplume,75,80,110,110,85,90,90,50,490,Grass,Poison,FALSE
Bellossom,75,80,90,90,95,100,100,50,490,Grass,,FALSE
Budew,40,30,50,50,35,70,70,55,280,Grass,Poison,FALSE
Roselia,50,60,100,100,45,80,80,65,400,Grass,Poison,FALSE
Roserade,60,70,125,125,65,105,105,90,515,Grass,Poison,FALSE
Wingull,40,30,55,55,30,30,30,85,270,Water,Flying,FALSE
Pelipper,60,50,95,95,100,70,100,65,440,Water,Flying,FALSE
Joltik,50,47,57,57,50,50,50,65,319,Bug,Electric,FALSE
Galvantula,70,77,97,97,60,60,60,108,472,Bug,Electric,FALSE
Electrike,40,45,65,65,40,40,40,65,295,Electric,,FALSE
Manectric,70,75,105,105,60,60,60,105,475,Electric,,FALSE
Vulpix,38,41,50,50,40,65,65,65,299,Fire,,FALSE
Ninetales,73,76,81,81,75,100,100,100,505,Fire,,FALSE
Growlithe,55,70,70,70,45,50,50,60,350,Fire,,FALSE
Arcanine,90,110,100,110,80,80,80,95,555,Fire,,FALSE
Vanillite,36,50,65,65,50,60,60,44,305,Ice,,FALSE
Vanillish,51,65,80,80,65,75,75,59,395,Ice,,FALSE
Vanilluxe,71,95,110,110,85,95,95,79,535,Ice,,FALSE
Swinub,50,50,30,50,40,30,40,50,250,Ice,Ground,FALSE
Piloswine,100,100,60,100,80,60,80,50,450,Ice,Ground,FALSE
Mamoswine,110,130,70,130,80,60,80,80,530,Ice,Ground,FALSE
Delibird,45,55,65,65,45,45,45,75,330,Ice,Flying,FALSE
Snorunt,50,50,50,50,50,50,50,50,300,Ice,,FALSE
Glalie,80,80,80,80,80,80,80,80,480,Ice,,FALSE
Froslass,70,80,80,80,70,70,70,110,480,Ice,Ghost,FALSE
Baltoy,40,40,40,40,55,70,70,55,300,Ground,Psychic,FALSE
Claydol,60,70,70,70,105,120,120,75,500,Ground,Psychic,FALSE
Mudbray,70,100,45,100,70,55,70,45,385,Ground,,FALSE
Mudsdale,100,125,55,125,100,85,100,35,500,Ground,,FALSE
Dwebble,50,65,35,65,85,35,85,55,325,Bug,Rock,FALSE
Crustle,70,105,65,105,125,75,125,45,485,Bug,Rock,FALSE
Golett,59,74,35,74,50,50,50,35,303,Ground,Ghost,FALSE
Golurk,89,124,55,124,80,80,80,55,483,Ground,Ghost,FALSE
Munna,76,25,67,67,45,55,55,24,292,Psychic,,FALSE
Musharna,116,55,107,107,85,95,95,29,487,Psychic,,FALSE
Natu,40,50,70,70,45,45,45,70,320,Psychic,Flying,FALSE
Xatu,65,75,95,95,70,70,70,95,470,Psychic,Flying,FALSE
Stufful,70,75,45,75,50,50,50,50,340,Normal,Fighting,FALSE
Bewear,120,125,55,125,80,60,80,60,500,Normal,Fighting,FALSE
Snover,60,62,62,62,50,60,60,40,334,Grass,Ice,FALSE
Abomasnow,90,92,92,92,75,85,85,60,494,Grass,Ice,FALSE
Krabby,30,105,25,105,90,25,90,50,325,Water,,FALSE
Kingler,55,130,50,130,115,50,115,75,475,Water,,FALSE
Wooper,55,45,25,45,45,25,45,15,210,Water,Ground,FALSE
Quagsire,95,85,65,85,85,65,85,35,430,Water,Ground,FALSE
Corphish,43,80,50,80,65,35,65,35,308,Water,,FALSE
Crawdaunt,63,120,90,120,85,55,85,55,468,Water,Dark,FALSE
Nincada,31,45,30,45,90,30,90,40,266,Bug,Ground,FALSE
Ninjask,61,90,50,90,45,50,50,160,456,Bug,Flying,FALSE
Shedinja,1,90,30,90,45,30,45,40,236,Bug,Ghost,FALSE
Tyrogue,35,35,35,35,35,35,35,35,210,Fighting,,FALSE
Hitmonlee,50,120,35,120,53,110,110,87,455,Fighting,,FALSE
Hitmonchan,50,105,35,105,79,110,110,76,455,Fighting,,FALSE
Hitmontop,50,95,35,95,95,110,110,70,455,Fighting,,FALSE
Pancham,67,82,46,82,62,48,62,43,348,Fighting,,FALSE
Pangoro,95,124,69,124,78,71,78,58,495,Fighting,Dark,FALSE
Klink,40,55,45,55,70,60,70,30,300,Steel,,FALSE
Klang,60,80,70,80,95,85,95,50,440,Steel,,FALSE
Klinklang,60,100,70,100,115,85,115,90,520,Steel,,FALSE
Combee,30,30,30,30,42,42,42,70,244,Bug,Flying,FALSE
Vespiquen,70,80,80,80,102,102,102,40,474,Bug,Flying,FALSE
Bronzor,57,24,24,24,86,86,86,23,300,Steel,Psychic,FALSE
Bronzong,67,89,79,89,116,116,116,33,500,Steel,Psychic,FALSE
Ralts,28,25,45,45,25,35,35,40,198,Psychic,Fairy,FALSE
Kirlia,38,35,65,65,35,55,55,50,278,Psychic,Fairy,FALSE
Gardevoir,68,65,125,125,65,115,115,80,518,Psychic,Fairy,FALSE
Gallade,68,125,65,125,65,115,115,80,518,Psychic,Fighting,FALSE
Drifloon,90,50,60,60,34,44,44,70,348,Ghost,Flying,FALSE
